Project_Name,Country,Project_Type,Announcement_Year,FID_Year,Operation_Year,Project_Status,Estimated_GHG_Reduction
3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),France,Capture,2019.0,,2025.0,Planned,2.5
3D DMX ArcelorMittal and IFPEN Dunkirk 'REUZE',France,CCU,2022.0,2024.0,2025.0,Planned,1.8
7 Blue Ammonia Facility,Qatar,Full Chain,2022.0,2022.0,2026.0,Under construction,
8Rivers H2 (8RH2) (WY),United States,Capture,2022.0,,,Planned,2.5
Abadi CCS/CCUS,Indonesia,Full chain,2018.0,,2027.0,Planned,3.0
Ackerman Combined Cycle Plant (MS),United States,Capture,2023.0,,,Planned,2.5
Acorn CCS phase 1-Capture at St Fergus,United Kingdom,Capture,2016.0,2024.0,2028.0,Planned,2.5
Acorn CCS phase 1-T&S,United Kingdom,T&S,2016.0,2024.0,2028.0,Planned,
Acorn CCS phase 2,United Kingdom,T&S,2017.0,,,Planned,
Acorn H2,United Kingdom,Capture,2018.0,,2028.0,Planned,2.5
Acorn Isle of Grain to Peterhead shipping,United Kingdom,Transport,2023.0,,,Planned,
Adams Fork Energy clean ammonia project (WV),United States,Capture,2022.0,2024.0,,Planned,2.5
Adbri Project,Australia,Capture,2021.0,,,Planned,2.5
ADM Cedar rapids bioethanol (IA),United States,Capture,2022.0,,,Planned,2.5
ADM Clinton bioethanol (IA),United States,Capture,2022.0,,,Planned,2.5
ADM Decatur Campus CO2 Storage Site Expansion (IL),United States,T&S,2022.0,,2028.0,Planned,
ADM Maroa/Forsyth CO2 Storage Site Development (IL),United States,Storage,2023.0,,2028.0,Planned,
ADNOC CO2 storage hub (Phase 2 of fertiglobe pilot),United Arab Emirates,Storage,2023.0,,2030.0,Planned,
Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA),United States,Capture,2021.0,,,Planned,2.5
AEB Amsterdam,Netherlands,CCU,2021.0,,2028.0,Planned,1.8
Aemetis CCS (CA),United States,Storage,2021.0,,2024.0,Planned,
Aemetis CCS Keyes facility (CA),United States,Capture,2021.0,,2024.0,Planned,2.5
Aemetis CCS Riverbank facility (CA),United States,Capture,2021.0,,2024.0,Planned,2.5
Air Liquide hydrogen facility Rotterdam,Netherlands,Capture,2012.0,2023.0,2026.0,Under construction,2.5
Air Liquide Shanghai Chemical Industry Park (SCIP) decarbonisation (Shanghai),People's Republic of China,Capture,2022.0,,2028.0,Planned,2.5
Air Products for Exxonmobil Botlek Rotterdam refinery,Netherlands,Capture,2019.0,2023.0,2026.0,Under construction,2.5
AirCapture DACU at Nutrien Kennewick Fertilizer (WA),United States,CCU,2022.0,,,Planned,1.8
AirCapture Nuclear DAC at JM Farley Nuclear (AL),United States,Capture,2022.0,,,Planned,2.5
Airhive Alpha Lab pilot,Canada,CCU,2023.0,,2024.0,Planned,1.8
Aittaluoto power (Pori),Finland,CCU,2022.0,2025.0,2027.0,Planned,1.8
Aker CC Biomass CHP (unknown facility),Germany,Capture,2023.0,,,Planned,2.5
Aker CC mineral production (unknown facilities),United States,Capture,2023.0,,,Planned,2.5
Aker CC power plant Europe (unknown facilities),Unknown,Capture,2023.0,,,Planned,2.5
Aker CC refinery (unknown facility),United States,Capture,2023.0,,,Planned,2.5
Aker CC Swedish energy company (unknown),Sweden,Capture,2023.0,,,Planned,2.5
Aker CC waste to energy Northern Europe (unknown facility),Unknown,Capture,2024.0,,,Planned,2.5
Aker CC WtE e-fuels,Finland,CCU,2023.0,,,Planned,1.8
Alaska Railbelt CCS Project (AK),United States,Storage,2023.0,,,Planned,
Alberta Carbon Grid (ALB) phase 1 (Industrial heartland),Canada,T&S,2021.0,2025.0,2027.0,Planned,
Alberta Carbon Grid (ALB) phase 2,Canada,T&S,2021.0,,,Planned,
Alberta Carbon Trunk Line (ACTL) - Edmonton Connector Phase 2,Canada,Transport,2023.0,2023.0,2024.0,Under construction,
Alberta Carbon Trunk Line (ACTL) (ALB),Canada,Transport,2011.0,2018.0,2020.0,Operational,
Altalto,United Kingdom,Capture,2021.0,,,Planned,2.5
Altera Stella Maris CCS Project Phase 2,Norway,T&S,2020.0,,,Planned,
Aluminium Bahrain MHI capture,Bahrain,Capture,2022.0,,,Planned,2.5
Aluminium Dunkerque feasibility study,France,Capture,2021.0,,,Planned,2.5
Amager Bakke/Amager Resource Centre (ARC),Denmark,Capture,2020.0,,2025.0,Planned,2.5
ANRAV-CCUS (Devnya plant),Bulgaria,Full chain,2022.0,,2028.0,Planned,3.0
Antwerp@C CO2 Export Hub phase 1,Belgium,Transport,2019.0,2024.0,2027.0,Planned,
Antwerp@C CO2 Export Hub phase 2,Belgium,Transport,2019.0,2024.0,2030.0,Planned,
"Appalachian basin storage MoU (OH, PA, WV)",United States,Storage,2022.0,,,Planned,
Aramis CCS storage phase 1,Netherlands,Storage,2019.0,2025.0,2029.0,Planned,
Aramis CCS storage phase 2,Netherlands,Storage,2019.0,,2030.0,Planned,
Aramis CCS transport phase 1,Netherlands,Transport,2019.0,2025.0,2029.0,Planned,
Arcelor LanzaTech Carbalyst (Steelanol) Ghent,Belgium,CCU,2011.0,2015.0,2022.0,Operational,1.8
Arcelor Mittal Air Liquide Low-carbon steel (phase 2?),France,Capture,2020.0,,,Planned,2.5
ARGO waste-to-energy plant,Denmark,Capture,2021.0,,2030.0,Planned,2.5
Aries (LA),United States,Storage,2022.0,,2026.0,Planned,
Arkalon CO2 Compression Facility (KS),United States,Full chain,,,2009.0,Operational,3.0
Arthit offshore gas field CCS,Thailand,Full chain,2021.0,,2027.0,Planned,3.0
Arun CCS,Indonesia,Storage,2022.0,,2029.0,Planned,
Ascension Clean Energy (ACE) complex (LA),United States,Capture,2022.0,2024.0,2027.0,Planned,2.5
Ash Grove Cement Foreman Plant (AR),United States,Full chain,2023.0,,,Planned,3.0
Asnæs Power Station,Denmark,Capture,2022.0,2023.0,2026.0,Under construction,2.5
Athabasca Banks Carbon Hub (ALB),Canada,Storage,2022.0,2024.0,2027.0,Planned,
Athabasca Leismer project (ALB),Canada,Full chain,2022.0,,2025.0,Planned,3.0
Atlantic Coast CO2 Emissions Storage Sink (ACCESS) (FL),United States,Storage,2023.0,,,Planned,
Atlas Carbon Sequestration Hub Phase 1 (Shell's Polaris Carbon Capture project Shell hub) (ALB),Canada,Full chain,2021.0,2024.0,2025.0,Planned,3.0
Atlas Carbon Sequestration Hub Phase 2 (ALB),Canada,T&S,2022.0,,2025.0,Planned,
Augusta C2 ,Italy-Greece,Transport,2022.0,,2029.0,Planned,
Aukra Hydrogen Hub,Norway,Full chain,2021.0,2024.0,2030.0,Planned,3.0
Avedøre Power Station CCS,Denmark,Capture,2021.0,2023.0,2026.0,Under construction,2.5
Avedøre Power Station CCU (Green Fuels for Denmark),Denmark,CCU,2021.0,,2026.0,Planned,1.8
Babcock & Wilcox’s (LA),United States,Capture,2023.0,,2026.0,Planned,2.5
Bacton Thames Net Zero,United Kingdom,T&S,2022.0,2027.0,2030.0,Planned,
Balikpapan Refinery,Indonesia,Full chain,2022.0,,2030.0,Planned,3.0
Banggai ammonia plant Central Sulawesi,Indonesia,Full chain,2021.0,,,Planned,3.0
Baotou Steel (Inner Mongolia) phase 1,People's Republic of China,Full Chain,2022.0,2022.0,2026.0,Under construction,
Baotou Steel (Inner Mongolia) phase 2,People's Republic of China,Full Chain,2022.0,2022.0,2027.0,Under construction,
Bapco MOL CCUS value chain,Bahrain,T&S,2023.0,,,Planned,
Barents Blue ammonia project Train 1,Norway,Capture,2021.0,2024.0,2028.0,Planned,2.5
Barents Blue ammonia project Train 2,Norway,Capture,2021.0,,,Planned,2.5
Barents Blue ammonia project Train 3,Norway,Capture,2021.0,,,Planned,2.5
Barossa and Darwin liquefied natural gas (DLNG) CCUS,Australia,Capture,2021.0,2024.0,2025.0,Planned,2.5
Battle River Carbon Hub (ALB),Canada,Storage,2022.0,2024.0,2027.0,Planned,
Bayou Bend CCS offshore (TX),United States,Storage,2021.0,,,Planned,
Bayu-Undan field storage hub Timor-Leste phase 1,Australia,T&S,2021.0,2025.0,2028.0,Planned,
Bayu-Undan field storage hub Timor-Leste phase 2,Australia,T&S,2021.0,2025.0,,Planned,
Bell Bay Powerfuels project (TAS),Australia,CCU,2020.0,,2027.0,Planned,1.8
Beremend cement factory,Hungary,Capture,2023.0,,2032.0,Planned,2.5
Berrima cement plant (NSW),Australia,CCU,2022.0,,,Planned,1.8
Big spring refinery (TX) pilot,United States,Capture,2024.0,,2028.0,Planned,2.5
BIGST gas fiels Cluster Heads of Agreement,Malaysia,Full chain,2022.0,,,Planned,3.0
BIOFOS Carbon Capture Project ,Denmark,Capture,2021.0,,2030.0,Planned,2.5
BIR Waste-to-Energy Bergen,Norway,Capture,2021.0,,,Planned,2.5
Blue Bison ATR advanced CCUS system (WY),United States,Capture,2021.0,,,Planned,2.5
"BlueBonnet Sequestration Hub (Chambers, Liberty, and Jefferson County) (TX)",United States,Storage,2022.0,,2026.0,Planned,
Bonanza BioEnergy CCUS (KS),United States,Full chain,2010.0,,2012.0,Operational,3.0
Bonaparte CCS Assessment G7-AP,Australia,Storage,2022.0,,2028.0,Planned,
Borealis Antwerp CCS,Belgium,Capture,2021.0,2024.0,2030.0,Planned,2.5
Boreong blue hydrogen,South Korea,Full chain,2021.0,,2028.0,Planned,3.0
Borregaard / SAE (Borg CO2) (2 facilities),Norway,Capture,2019.0,,2035.0,Planned,2.5
Boundary Dam CCS (SASK),Canada,Capture,2008.0,2011.0,2014.0,Operational,2.5
Bow River Hub (ALB),Canada,Storage,2022.0,,,Planned,
BP H2Teesside Phase 1,United Kingdom,Capture,2021.0,,2027.0,Planned,2.5
BP H2Teesside Phase 2,United Kingdom,Capture,2021.0,,2030.0,Planned,2.5
Brazeau Carbon Sequestration Hub (ALB),Canada,Storage,2022.0,,,Planned,
Bridgeport Energy Moonie CCUS Project,Australia,T&S,2018.0,,2024.0,Under construction,
Broadwing Clean Energy Complex (IL),United States,Capture,2021.0,2024.0,2028.0,Planned,2.5
Broceni cement plant,Latvia,Capture,2024.0,,2030.0,Planned,2.5
Burns Harbour (IN),United States,Capture,2020.0,,,Planned,2.5
Bushmills Ethanol Atwater (MN),United States,Capture,2022.0,,2024.0,Planned,2.5
Buxton Lime Net Zero,United Kingdom,Capture,2022.0,,,Planned,2.5
Buzzi Unicem Augusta cement plant,Italy,Capture,2022.0,,,Planned,2.5
C Zero phase 1,Germany,Transport,2023.0,,,Planned,
C Zero phase 2,Germany,Transport,2023.0,,,Planned,
C Zero phase 3,Germany,Transport,2023.0,,,Planned,
CalCapture (Elk Hills) (CA) ,United States,Capture,2019.0,2024.0,2026.0,Planned,2.5
CalCC Lhoist Air Liquide Lime plant Rety,France,Capture,2022.0,,2028.0,Planned,2.5
Caledonia Clean Energy (previously Captain Clean Energy),United Kingdom,Full chain,2012.0,,2028.0,Planned,3.0
Callisto Mediterranean CO2 Network phase 1,France-Italy,Transport,2023.0,,2029.0,Planned,
Callisto Mediterranean CO2 Network phase 2,France-Italy,Transport,2023.0,,2040.0,Planned,
Calpine Baytown Energy Center (TX),United States,Capture,2023.0,,2028.0,Planned,2.5
Calpine Deer Park Energy Center (TX),United States,Capture,2021.0,,,Planned,2.5
Calpine Delta Energy Center (CA),United States,Capture,2021.0,,,Planned,2.5
Calpine Hermiston Power/HERO Basalt CarbonSafe (OR),United States,Full chain,2023.0,,,Planned,3.0
Cameron Parish CO2 hub (LA),United States,Storage,2023.0,,2027.0,Planned,
CANstore (CA),United States,Storage,2023.0,,,Planned,
"Capsol feasibility studies (2 plants, unknown)",Unknown,Capture,2023.0,,,Planned,2.5
Carbon America Bridgeport Ethanol (NE),United States,Full chain,2022.0,,,Planned,3.0
Carbon America Sterling ethanol (CO),United States,Full chain,2022.0,2024.0,2028.0,Planned,3.0
Carbon America Yuma ethanol (CO),United States,Full chain,2022.0,2024.0,2028.0,Planned,3.0
Carbon Capture at Corn-processing complex (NE),United States,Capture,2022.0,,,Planned,2.5
Carbon Capture on Air Liquide US Gulf Coast Steam Methane Reformer Using the CryocapTM FG Process (TX),United States,Capture,2022.0,,,Planned,2.5
Carbon Capture Retrofit at Sherman Generating Station (TX),United States,Capture,2019.0,,,Planned,2.5
Carbon Clean CEMEX Rudersdorf plant phase 1,Germany,CCU,2021.0,,2026.0,Planned,1.8
Carbon Clean CEMEX Rudersdorf plant phase 2,Germany,CCU,2021.0,,,Planned,1.8
Carbon reduced Ammonia plant St Rose (LA),United States,Full chain,2023.0,2024.0,2027.0,Planned,3.0
Carbon Storage Complex Southeastern Michigan (MI),United States,Storage,2023.0,,,Planned,
Carbon TerraVault 1: Lone Cypress Hydrogen project (CA),United States,Capture,2022.0,2024.0,2025.0,Planned,2.5
Carbon TerraVault 2 (CA),United States,Storage,2022.0,2025.0,,Planned,
Carbon TerraVault 3 (CA),United States,Storage,2022.0,2025.0,,Planned,
Carbon TerraVault 4 (CA),United States,Storage,2023.0,2025.0,,Planned,
Carbon TerraVault 5 (CA),United States,Storage,2023.0,2025.0,,Planned,
Carbon TerraVault1: InEnTec (CA),United States,Capture,2023.0,2024.0,,Planned,2.5
Carbon TerraVault1: Verde (CA),United States,Capture,2023.0,2025.0,,Planned,2.5
Carbon2Business LafargeHolcim Laegerdorf (Westkuste100/Hyscale100),Germany,CCU,2020.0,,2027.0,Planned,1.8
Carbon2ProductAustria (C2PAT) - Lafarge Mannersdorf,Austria,CCU,2020.0,,2030.0,Planned,1.8
CarbonCapture DACU Carbon Cure at Gary Works (IN),United States,CCU,2022.0,,,Planned,1.8
CarbonFrontier (CA),United States,Full Chain,2023.0,,,Planned,
CarbonNet,Australia,T&S,2010.0,2024.0,2030.0,Planned,
CarbonSAFE Eos (CO),United States,Storage,2023.0,,,Planned,
CarbonSAFE Illinois Storage Corridor (IL),United States,Storage,2019.0,,2025.0,Planned,
Cauldron cement plant,United Kingdom,Capture,2024.0,,2030.0,Planned,2.5
"CCS Baltic Consortium, Klapeida terminal",Latvia-Lithuania,Transport,2022.0,2027.0,2031.0,Planned,
CCS Sakakemang,Indonesia,Full chain,2021.0,2024.0,2028.0,Planned,3.0
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 2,United States,Full chain,2022.0,2022.0,2024.0,Under construction,3.0
CCUS at Red Hills natural gas processing complex (NM) EOR Phase 3,United States,Full chain,2022.0,,2024.0,Planned,3.0
"CCUS hub at Strathcona Resources Cold Lake Lindbergh, Orion, and Tucker SAGD facilities (x 3 projects) (ALB)",Canada,Capture,2022.0,,,Planned,2.5
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 1,People's Republic of China,Full chain,2023.0,2023.0,2024.0,Under construction,3.0
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 2,People's Republic of China,Full chain,2023.0,2023.0,2025.0,Under construction,3.0
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 3,People's Republic of China,Full chain,2023.0,2026.0,2027.0,Planned,3.0
CEIC-CNPC CCUS-EOR demonstration (Ningxia) Phase 3 (dedicated storage) ,People's Republic of China,Full chain,2023.0,2026.0,2027.0,Planned,3.0
Celsio CCS project terminal,Norway,Transport,2016.0,,2025.0,Planned,
Cementa Slite plant,Sweden,Capture,2021.0,2026.0,2029.0,Planned,2.5
CEMEX Balcones Cement plant (TX),United States,Capture,2020.0,,,Planned,2.5
Central Alberta Hub (ALB),Canada,Storage,2022.0,,2027.0,Planned,
Central Interior Geological CCS Assessment (BC),Canada,Storage,2024.0,,,Planned,
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 1,United States,T&S,2022.0,2023.0,2024.0,Under construction,
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 2,United States,T&S,2022.0,,2027.0,Planned,
Central Louisiana Regional Carbon Storage (CENLA) Hub (Wilcox) (LA) phase 3,United States,T&S,2022.0,,2029.0,Planned,
Central Sumatera Basin CCUS hub,Indonesia,Storage,2022.0,,2030.0,Planned,
Centrica Equinor hydrogen hub Easington collaboration,United Kingdom,Full chain,2022.0,,,Planned,3.0
Century plant (TX),United States,Full chain,2008.0,2008.0,2010.0,Operational,3.0
Cerilon gas-to-liquids complex (ND),United States,Full chain,2021.0,,,Planned,3.0
CF Fertilisers Billingham Ammonia CCS,United Kingdom,Capture,2022.0,,,Planned,2.5
CF Industries and Mitsui Blue ammonia complex (LA),United States,Full chain,2022.0,2024.0,2027.0,Planned,3.0
CF Industries blue ammonia Donaldsonville (LA),United States,Capture,2020.0,2021.0,2025.0,Under construction,2.5
CF Industries blue ammonia Yazoo (LA),United States,Capture,2020.0,,,Planned,2.5
Changling Gas plant /Jilin Oil Field CO2-EOR Full-scale (Jilin),People's Republic of China,Full chain,2006.0,2015.0,2018.0,Operational,3.0
Chevron Mitsui CO2 shipping SGP-AUS,Singapore,Transport,2022.0,,,Planned,
China Energy Guohua Jinjie Power (Shaanxi),People's Republic of China,Full chain,2018.0,2019.0,2021.0,Operational,3.0
China Energy Taizhou power (Jiangsu),People's Republic of China,Full chain,2021.0,2021.0,2023.0,Operational,3.0
CinfraCap (Carbon Infrastructure Capture) - Port of Gothenburg,Sweden,Transport,2020.0,,,Planned,
City of Estevan Power Plant,Canada,Capture,2021.0,,,Planned,2.5
Cliff Head CCS Project,Australia,T&S,2021.0,,2026.0,Planned,
Climeworks DAC at Brawley Geothermal (CA),United States,Full chain,2022.0,,,Planned,3.0
Climeworks Mammoth Project,Iceland,Full chain,2022.0,2022.0,2024.0,Under construction,3.0
Climeworks Norsk e fuel phase 1,Norway,CCU,2020.0,2024.0,2025.0,Planned,1.8
Climeworks Norsk e fuel phase 2,Norway,CCU,2020.0,,2026.0,Planned,1.8
Climeworks Norsk e fuel phase 3,Norway,CCU,2020.0,,2029.0,Planned,1.8
Climeworks Orca,Iceland,Full chain,2018.0,2020.0,2021.0,Operational,3.0
CNOOC Enping offshore CCS (Hong Kong),People's Republic of China,Full chain,2021.0,2021.0,2023.0,Operational,3.0
CNPC China Northwest hub phase 1 (Xinjiang),People's Republic of China,T&S,2019.0,2024.0,2025.0,Planned,
CNPC China Northwest hub phase 2 (Xinjiang),People's Republic of China,T&S,2019.0,,2030.0,Planned,
CNPC China Northwest hub refinery hydrogen (Xinjiang) ,People's Republic of China,Capture,2019.0,2024.0,2025.0,Planned,2.5
CO2 capture at Coal Creek (ND),United States,Capture,2021.0,2025.0,,Planned,2.5
CO2 capture at Duke Energy's East Bend Station (KY),United States,Capture,2018.0,,,Planned,2.5
CO2 TO METHANOL Finnfjord Ferrosilicon,Norway,CCU,2017.0,2024.0,,Planned,1.8
"CO2 TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Netherlands,Transport,2022.0,,,Planned,
"CO2 TransPorts phase 2 (cross-border pipeline, phase 1 is Portos and Antwerp?)",Netherlands,Transport,2022.0,,,Planned,
CO2MENT LafargeHolcim Florence (CO),United States,Full chain,2020.0,,2025.0,Planned,3.0
CO2NEXT terminal phase 1,Germany,Transport,,,,Planned,
CO2NEXT terminal phase 2,Germany,Transport,,,,Planned,
"CO2NNECTION Central Appalachian Basin hub (OH, PA, WV)",United States,Transport,2023.0,,,Planned,
CO2nnectNow HES Wilhelmshaven Tank Terminal phase 1,Germany,Transport,2022.0,,2028.0,Planned,
CO2NTESSA,Croatia,Capture,2023.0,,2029.0,Planned,2.5
Coal creek capture: site characterisation and permitting (ND),United States,Storage,2021.0,2025.0,,Planned,
Coastal Bend Carbon Management Project (TX),United States,Storage,2022.0,,,Planned,
Coastal Bend Offshore CO2 Storage (TX),United States,Storage,2023.0,,,Planned,
CO-Creator Pilot Startup program DACCS,Iceland,Capture,2023.0,,,Planned,2.5
Coda terminal Phase 1,Iceland,T&S,2021.0,2024.0,2026.0,Planned,
Coda terminal Phase 2,Iceland,T&S,2021.0,,2028.0,Planned,
Coda terminal phase 3,Iceland,T&S,2021.0,,2031.0,Planned,
Coffeyville fertiliser Plant (KS),United States,Full chain,2011.0,2011.0,2013.0,Operational,3.0
Colleferro plant,Italy,Capture,2018.0,,,Planned,2.5
Combined Carbon Capture Solution on Air Liquide Northern California Steam Methane Reformer (CA),United States,Capture,2022.0,,,Planned,2.5
Commonwealth LNG CCS (LA),United States,Capture,2023.0,2024.0,2027.0,Planned,2.5
Competitive Power Ventures CCGT (WV),United States,Capture,2021.0,,,Planned,2.5
Connah's Quay,United Kingdom,Capture,2021.0,,2030.0,Planned,2.5
Co-op Belle Plaine Ethanol Complex (SK),Canada,Capture,2021.0,,2024.0,Planned,2.5
Co-op Renewable Diesel Complex (SK),Canada,Capture,2021.0,2024.0,2027.0,Planned,2.5
Core Energy CO2-EOR South Chester plant (MI),United States,Full chain,,,2003.0,Operational,3.0
Cormorant Clean Energy project (TX),United States,Capture,2024.0,2025.0,2027.0,Planned,2.5
Corn LP Goldfield biorefinery (IA),United States,Capture,2021.0,2024.0,2025.0,Planned,2.5
Corporation Energy Blue Ammonia/hydrogen Baidaratskaya Bay,Russia,Full chain,2021.0,,2025.0,Planned,3.0
Corporation Energy Blue Ammonia/hydrogen Seyakha,Russia,Full chain,2021.0,,2026.0,Planned,3.0
Corpus Christi carbon storage hub (TX),United States,Storage,2023.0,,,Planned,
Corpus Christi CO2 pipeline (TX),United States,Transport,2022.0,,2028.0,Planned,
Corvus (WY),United States,Storage,2022.0,,2026.0,Planned,
CORY EfW plant Belvedere,United Kingdom,Full chain,2021.0,,2030.0,Planned,3.0
Coyote Clean Power Project (CO),United States,Full chain,2021.0,2024.0,2025.0,Planned,3.0
CPNC coal power Baijiantan Karamay (Xinjiang),People's Republic of China,Full chain,2023.0,2023.0,2027.0,Under construction,3.0
Crawford Nickel,Canada,CCU,2023.0,2025.0,,Planned,1.8
CRP Haifeng Project (Guangdong),People's Republic of China,Capture,2013.0,,2030.0,Planned,2.5
Cstore 1,Australia,T&S,2021.0,,,Planned,
CTSCo Project,Australia,Full chain,2010.0,2022.0,2026.0,Under construction,3.0
Cygnus (WY),United States,Storage,2022.0,,2027.0,Planned,
Cypress Carbon Capture Project (LA),United States,Capture,2023.0,,,Planned,2.5
Cypress DAC Hub (LA),United States,Capture,2023.0,,2030.0,Planned,2.5
Dakota Ethanol Wentworth biorefinery (SD),United States,Capture,2021.0,2024.0,2025.0,Planned,2.5
Dakota H2 Hub (ND),United States,Full chain,2021.0,,2027.0,Planned,3.0
Dalstur Energy Coal India coal hydrogen,India,Capture,2022.0,,,Planned,2.5
Damhead Creek CCGT power station,United Kingdom,Capture,2022.0,,,Planned,2.5
D'Artagnan Dunkirk CO2 Hub Phase 1,France,Transport,2021.0,,2027.0,Planned,
D'Artagnan Dunkirk CO2 Hub Phase 2,France,Transport,2021.0,,2031.0,Planned,
D'Artagnan Dunkirk CO2 Hub Phase 3,France,Transport,2021.0,,2035.0,Planned,
Daya Bay CCS Hub (Guangdong),People's Republic of China,T&S,2022.0,,,Planned,
Delaware Basin project (TX),United States,Storage,2023.0,,,Planned,
Delta Rhyne Corridor ,Netherlands-Germany,Transport,2021.0,2024.0,2027.0,Planned,
Denbury / Mitsubishi Gulf Coast ammonia project (TBD),United States,T&S,2021.0,,,Planned,
Diamond Vault (LA),United States,Storage,2023.0,,,Planned,
Donghae CCS Project (capture sources under evaluation),South Korea,T&S,2022.0,2024.0,2025.0,Planned,
Dorado (TX),United States,Storage,2022.0,,2026.0,Planned,
Dos Bocas refinery,Mexico,Capture,,,,Planned,2.5
Dow Fort Saskatchewan Path2Zero (ALB),Canada,Capture,2021.0,2023.0,2029.0,Under construction,2.5
Draco (LA),United States,Storage,2022.0,,2026.0,Planned,
Drax BECCS Project (Phase 1),United Kingdom,Capture,2019.0,2024.0,2027.0,Planned,2.5
Drax BECCS Project (Phase 2),United Kingdom,Capture,2019.0,2024.0,2030.0,Planned,2.5
Drax US BECCS plant 1,United States,Capture,2023.0,2026.0,2030.0,Planned,2.5
Drax US BECCS plant 2,United States,Capture,2023.0,2026.0,2030.0,Planned,2.5
Dry Fork Integrated Commercial CCS/Wyoming CarbonSafe (WY),United States,Full chain,2016.0,,2025.0,Planned,3.0
Duke Energy Edwardsport Integrated Gasification Combined Cycle plant (IN),United States,Capture,2023.0,,,Planned,2.5
e-Alto,United Kingdom,CCU,2022.0,,,Planned,1.8
East Calgary Region Carbon Sequestration Hub (ALB),Canada,Storage,2022.0,,,Planned,
East Kalimantan CCUS hub,Indonesia,Storage,2022.0,,2030.0,Planned,
East Niigata area CCS - Hokuetsu pulp plant,Japan,Capture,2023.0,,2030.0,Planned,2.5
East Niigata area CCS - Mitsubshi gas chemical,Japan,Capture,2023.0,,2030.0,Planned,2.5
East Niigata area CCS - Tohoku Electric Power,Japan,Capture,2023.0,,2030.0,Planned,2.5
East Niigata area CCS (capture sources under evaluation),Japan,T&S,2023.0,,2030.0,Planned,
Eastern Louisiana Clean Hydrogen Complex (LA) ,United States,Full chain,2021.0,2023.0,2026.0,Under construction,3.0
Eastern Wyoming Sequestration Hub (WY),United States,Storage,2022.0,,2024.0,Planned,
ECO2CEE (Poland EU CCS Interconnector) phase 1,"Poland, Latvia, Lithuania",Transport,2021.0,,2027.0,Planned,
ECO2CEE (previously Poland EU CCS Interconnector) phase 2,"Poland, Latvia, Lithuania",Transport,2021.0,,2031.0,Planned,
